"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/12/2024","1.2511","1.2746","1.2813","1.2474","","-1.77%"
"01/11/2024","1.2737","1.2902","1.3049","1.2486","","-1.25%"
"01/10/2024","1.2898","1.3375","1.3391","1.2843","","-3.53%"
"01/09/2024","1.3370","1.3122","1.3436","1.3001","","1.86%"
"01/08/2024","1.3126","1.2856","1.3266","1.2662","","2.10%"
"01/07/2024","1.2856","1.2644","1.3046","1.2614","","1.69%"
"01/06/2024","1.2642","1.2732","1.2862","1.2612","","-0.76%"
"01/05/2024","1.2739","1.2494","1.2802","1.2445","","1.99%"
"01/04/2024","1.2490","1.2631","1.2711","1.2298","","-1.05%"
"01/03/2024","1.2623","1.2625","1.2895","1.2574","","0.00%"
"01/02/2024","1.2623","1.2687","1.2774","1.2517","","-0.49%"
"01/01/2024","1.2685","1.2731","1.2787","1.2595","","-0.35%"